| Date | Actual | Forecast | Previous |
| 1 Oct 2019 |-1.4% | -0.3% | 1.5% |
| 2 Sep 2019 |1.4% | -0.5% | 0.7% |
| 5 Aug 2019 |0.7% | -0.5% | -1.1% |
| 1 Jul 2019 |-1.7% | -0.4% | -0.8% |
| 31 May 2019 |-0.7% | -0.3% | -0.7% |
| 2 May 2019 |-0.7% | -0.4% | 0.0% |
| 1 Apr 2019 |-0.2% | -0.8% | -0.2% |
| 1 Mar 2019 |-0.4% | 0.7% | -0.2% |
| 1 Feb 2019 |-0.3% | -0.2% | -0.6% |
| 8 Jan 2019 |-0.5% | -0.4% | 1.0% |
| 3 Dec 2018 |0.8% | 0.0% | -2.5% |
| 2 Nov 2018 |-2.7% | 0.0% | 0.5% |
{"data":{"url":"https://www.mql5.com/en/economic-calendar/switzerland/retail-sales-yy","short":"https://lst.to/49vck","qr":"https://lst.to/49vck.png","type":"link","created":"2019-10-10 21:26:14"}}
